Date,Open,High,Low,Close,Volume,Adj Close
2015-12-10,752.849976,755.849976,743.830017,749.460022,1984900,749.460022
2015-12-09,759.169983,764.22998,737.000977,751.609985,2695300,751.609985
2015-12-08,757.890015,764.799988,754.200012,762.369995,1827400,762.369995
2015-12-07,767.77002,768.72998,755.090027,763.25,1807300,763.25
2015-12-04,753.099976,768.48999,750.00,766.809998,2741500,766.809998
2015-12-03,766.01001,768.994995,745.630005,752.539978,2588900,752.539978
2015-12-02,768.900024,775.955017,758.960022,762.380005,2195700,762.380005
2015-12-01,747.109985,768.950012,746.700012,767.039978,2129900,767.039978
2015-11-30,748.809998,754.929993,741.27002,742.599976,2035300,742.599976
2015-11-27,748.460022,753.409973,747.48999,750.26001,838500,750.26001
2015-11-25,748.140015,752.00,746.059998,748.150024,1122100,748.150024
